"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Â ","","",""
"David Johnson","ARI","282.3","1,198.5","12.0","75.5","742.4","3.9","3.1","283.4"
"Le'Veon Bell","PIT","292.6","1,340.5","9.4","75.9","619.9","2.4","2.2","262.4"
"LeSean McCoy","BUF","244.3","1,188.3","9.3","47.1","365.1","1.8","1.0","219.7"
"Devonta Freeman","ATL","219.3","968.0","8.9","55.4","484.6","2.7","1.8","211.1"
"Jordan Howard","CHI","267.6","1,242.0","7.1","35.7","311.5","1.4","1.6","202.9"
"Melvin Gordon","LAC","273.0","1,095.5","8.1","46.6","399.9","1.9","3.8","202.0"
"Jay Ajayi","MIA","264.7","1,191.2","8.3","35.2","248.2","1.3","1.3","199.2"
"DeMarco Murray","TEN","246.6","1,066.1","7.4","44.5","321.1","2.1","1.8","192.2"
"Todd Gurley","LAR","273.8","1,040.8","7.9","38.4","295.4","1.0","1.4","184.2"
"Lamar Miller","HOU","261.9","1,063.6","6.5","36.0","262.4","1.4","1.6","176.4"
"Leonard Fournette","JAC","235.8","1,029.2","7.1","30.4","228.5","1.2","1.8","171.7"
"Ezekiel Elliott","DAL","199.7","961.2","7.1","25.7","243.4","1.0","0.9","167.1"
"Isaiah Crowell","CLE","215.2","921.7","6.1","37.1","296.5","0.7","1.6","159.3"
"Marshawn Lynch","OAK","196.1","821.5","7.9","32.1","239.8","1.1","1.2","157.3"
"Dalvin Cook","MIN","190.5","801.8","6.4","38.3","302.0","1.6","1.6","154.7"
"Spencer Ware","KC","202.1","860.5","6.2","32.3","297.7","1.3","4.1","152.4"
"Ty Montgomery","GB","156.7","738.4","5.2","44.9","362.2","1.9","1.5","149.6"
"Christian McCaffrey","CAR","153.1","682.6","4.4","49.6","429.7","2.3","1.7","147.7"
"Mark Ingram","NO","168.4","752.6","5.4","42.2","318.0","2.2","2.5","147.4"
"Joe Mixon","CIN","183.5","764.1","6.1","34.6","274.2","1.0","1.5","143.7"
"Bilal Powell","NYJ","156.2","714.0","4.1","51.9","377.7","1.8","1.2","142.2"
"Carlos Hyde","SF","213.4","907.3","5.8","26.5","180.8","1.3","5.6","140.1"
"Frank Gore","IND","206.2","796.4","4.8","29.8","231.3","1.6","2.0","137.4"
"Tevin Coleman","ATL","129.3","565.8","5.1","35.4","364.3","2.6","1.3","136.2"
"Ameer Abdullah","DET","171.0","717.9","4.3","33.4","282.2","2.0","1.9","134.2"
"Terrance West","BAL","188.1","753.3","5.1","32.2","228.5","1.1","1.0","133.0"
"Paul Perkins","NYG","200.5","817.1","4.1","25.8","222.4","1.0","1.5","131.6"
"Mike Gillislee","NE","160.7","753.7","7.3","13.8","105.2","0.4","1.4","129.5"
"C.J. Anderson","DEN","177.4","753.2","4.8","28.7","222.4","1.0","1.8","128.8"
"Eddie Lacy","SEA","171.5","755.0","4.9","19.2","153.3","0.9","1.1","123.3"
"Robert Kelley","WAS","185.8","768.7","5.7","15.9","121.4","0.4","1.5","122.3"
"Danny Woodhead","BAL","89.7","379.0","2.6","61.0","491.8","3.0","1.0","118.3"
"Matt Forte","NYJ","149.6","611.0","3.7","31.6","258.2","1.4","1.7","114.0"
"Doug Martin","TB","176.4","697.3","4.6","20.3","161.4","0.8","3.4","111.3"
"Jonathan Stewart","CAR","176.3","720.8","5.4","11.8","90.0","0.5","3.5","109.6"
"LeGarrette Blount","PHI","173.9","701.2","5.8","9.5","60.7","0.2","1.9","108.5"
"Theo Riddick","DET","80.0","311.4","1.9","60.5","481.7","3.2","0.9","108.1"
"Duke Johnson","CLE","84.5","355.9","1.9","57.4","497.0","1.7","1.4","104.2"
"Adrian Peterson","NO","147.6","617.6","5.6","22.2","147.8","0.5","4.9","103.7"
"Derrick Henry","TEN","140.5","606.0","4.3","16.1","146.5","0.8","1.2","103.3"
"Darren Sproles","PHI","83.9","372.2","2.2","48.8","378.1","1.8","1.2","96.6"
"Kareem Hunt","KC","115.7","484.2","3.8","29.1","227.9","0.9","1.8","95.6"
"Darren McFadden","DAL","125.4","529.9","4.2","20.9","163.5","0.3","2.8","91.1"
"Giovani Bernard","CIN","102.9","420.9","2.2","35.2","300.6","1.4","1.9","90.3"
"Thomas Rawls","SEA","121.5","509.8","4.3","13.9","106.4","0.3","0.9","87.1"
"James White","NE","51.1","212.0","1.5","48.4","407.2","3.1","1.4","86.7"
"Chris Thompson","WAS","57.2","269.0","1.8","47.7","362.5","2.0","1.5","82.9"
"C.J. Prosise","SEA","57.2","258.1","1.9","39.4","379.5","1.3","1.0","81.0"
"Jamaal Charles","DEN","99.9","442.1","3.2","26.4","210.4","1.0","4.8","80.8"
"Jamaal Williams","GB","115.2","491.4","3.8","11.4","84.0","0.3","1.6","78.7"
"Jeremy Hill","CIN","116.4","454.4","3.7","11.5","86.0","0.2","1.3","74.9"
"Rex Burkhead","NE","94.1","398.5","3.1","16.7","137.1","0.9","1.6","74.6"
"Shane Vereen","NYG","66.7","288.0","1.6","40.0","317.4","1.9","3.5","74.0"
"Samaje Perine","WAS","107.1","432.7","3.4","13.8","109.4","0.2","1.8","72.5"
"Jacquizz Rodgers","TB","107.5","454.9","2.5","16.6","118.9","0.2","1.3","71.2"
"Charles Sims","TB","72.9","284.2","1.4","33.0","290.2","1.7","2.6","71.0"
"Latavius Murray","MIN","106.9","426.4","3.4","15.8","109.5","0.2","2.4","70.6"
"DeAndre Washington","OAK","90.8","421.1","2.3","18.9","136.6","0.5","2.1","68.6"
"Robert Turbin","IND","74.7","288.9","2.8","23.8","172.1","1.2","1.1","67.8"
"Dion Lewis","NE","76.8","331.8","2.2","23.1","176.9","1.2","3.7","63.3"
"Jalen Richard","OAK","60.0","291.4","1.5","23.4","173.5","0.9","1.2","58.6"
"Tim Hightower","SF","84.3","343.7","2.2","14.1","114.8","0.2","1.6","57.3"
"Jonathan Williams","BUF","92.5","387.2","3.1","10.7","72.9","0.2","4.8","56.4"
"T.J. Yeldon","JAC","64.2","242.1","1.1","32.2","226.7","0.9","1.5","55.7"
"Alvin Kamara","NO","44.5","189.8","1.6","28.6","229.8","0.9","1.5","53.9"
"D'Onta Foreman","HOU","80.5","320.1","2.3","13.5","95.6","0.1","1.3","53.8"
"Joe Williams","SF","71.2","297.4","1.8","14.6","109.7","0.4","1.9","50.5"
"Jerick McKinnon","MIN","56.7","221.2","1.0","27.0","186.4","1.1","1.4","50.2"
"Marlon Mack","IND","59.9","240.1","1.6","18.3","142.1","0.6","1.3","48.9"
"Donnel Pumphrey","PHI","63.9","256.9","1.2","17.3","129.3","0.3","1.4","44.8"
"Devontae Booker","DEN","72.1","278.8","1.4","16.2","128.2","0.6","3.8","44.5"
"Damien Williams","MIA","42.7","157.0","1.2","18.6","161.5","1.5","1.7","44.3"
"Tarik Cohen","CHI","52.4","234.8","1.4","16.5","133.6","0.3","1.9","43.5"
"Alfred Morris","DAL","67.1","281.0","1.7","6.3","40.1","0.2","0.6","42.3"
"James Conner","PIT","55.6","226.5","2.1","9.8","74.7","0.2","0.9","41.6"
"Chris Johnson","ARI","64.1","263.4","1.6","5.1","39.9","0.2","1.5","37.8"
"Marcel Reece","SEA","10.0","20.0","0.1","26.0","278.0","1.2","0.0","37.6"
"Zach Zenner","DET","45.7","172.6","1.7","11.9","101.2","0.1","0.3","37.3"
"Wendell Smallwood","PHI","63.6","260.5","1.4","8.8","65.2","0.1","2.4","36.5"
"Kyle Juszczyk","SF","6.3","25.3","0.3","27.5","217.7","1.5","0.0","34.9"
"Branden Oliver","LAC","50.6","191.9","1.0","12.8","104.4","0.4","1.9","34.0"
"Orleans Darkwa","NYG","50.7","192.4","1.5","9.2","66.2","0.2","1.5","33.1"
"Elijah McGuire","NYJ","42.9","176.7","1.0","12.2","94.9","0.2","1.5","31.3"
"Lance Dunbar","LAR","32.0","128.2","0.6","15.6","126.5","0.5","0.7","30.5"
"Chris Ivory","JAC","55.1","216.8","1.7","10.2","78.9","0.1","4.8","30.4"
"Kenyan Drake","MIA","41.7","178.1","1.0","9.8","71.7","0.2","1.3","29.5"
"Andre Ellington","ARI","24.8","101.5","0.7","15.0","122.6","0.4","0.1","28.5"
"Jeremy Langford","CHI","37.8","150.5","0.9","8.6","68.5","0.3","0.3","28.3"
"Mike Tolbert","BUF","32.9","129.8","0.9","9.5","69.0","0.5","0.3","27.9"
"Alfred Blue","HOU","45.8","181.5","0.9","9.8","64.6","0.2","1.7","27.7"
"Aaron Ripkowski","GB","22.0","105.7","1.6","7.7","56.7","0.5","1.7","25.6"
"Wayne Gallman","NYG","40.5","156.6","0.9","8.0","61.2","0.1","1.8","24.3"
"Elijah Hood","OAK","34.6","144.3","1.3","5.2","40.7","0.2","1.5","24.2"
"Andre Williams","LAC","39.9","147.8","0.9","3.1","25.6","0.1","0.0","23.0"
"Aaron Jones","GB","30.3","121.8","0.9","6.2","49.3","0.1","0.1","22.9"
"John Kuhn","NO","9.9","29.3","1.7","10.4","62.4","0.3","0.0","21.4"
"Malcolm Brown","LAR","29.3","109.2","0.8","7.5","55.0","0.1","0.8","20.1"
"Kerwynn Williams","ARI","20.0","92.9","0.7","5.9","46.0","0.1","0.2","18.3"
"Brian Hill","ATL","24.6","98.6","0.9","3.1","23.7","0.1","0.1","17.7"
"Charcandrick West","KC","27.9","103.7","0.7","6.9","52.9","0.2","1.8","17.4"
"Javorius Allen","BAL","25.0","95.0","0.5","5.3","37.6","0.1","0.2","16.5"
"Ka'Deem Carey","CHI","27.3","103.6","0.5","3.5","30.3","0.0","0.0","16.3"
"De'Angelo Henderson","DEN","21.5","81.2","0.4","4.8","49.4","0.0","0.1","15.0"
"Matt Asiata","DET","15.6","57.9","0.8","5.8","45.9","0.0","0.1","15.0"
"Cameron Artis-Payne","CAR","18.8","74.9","0.9","1.4","15.8","0.0","0.2","13.9"
"Shaun Draughn","NYG","19.6","73.8","0.4","5.2","40.2","0.1","0.2","13.8"
"Jamize Olawale","OAK","10.3","40.0","0.3","6.1","59.7","0.3","0.0","13.7"
"Kenjon Barner","LAC","23.1","86.9","0.6","5.7","43.0","0.2","2.1","13.5"
"Kenneth Farrow","LAC","19.9","70.7","0.7","4.8","32.8","0.0","0.4","13.5"
"Andy Janovich","DEN","5.3","27.2","0.6","7.2","57.1","0.1","0.0","13.0"
"Benny Cunningham","CHI","13.1","58.1","0.2","7.9","62.0","0.0","0.2","12.9"
"Dwayne Washington","DET","19.3","71.2","0.4","3.6","23.8","0.0","0.1","11.6"
"Travaris Cadet","NO","3.9","15.8","0.0","12.1","90.5","0.2","0.2","11.4"
"Jeremy McNichols","TB","16.3","63.4","0.2","5.1","38.1","0.1","0.3","11.3"
"Fitzgerald Toussaint","PIT","16.4","62.1","0.1","4.6","40.2","0.0","0.1","10.9"
"Brandon Wilds","CLE","15.2","56.4","0.4","3.2","27.7","0.0","0.1","10.7"
"Alex Collins","SEA","18.3","73.6","0.3","2.7","24.4","0.0","0.5","10.3"
"Lorenzo Taliaferro","BAL","13.5","49.8","0.4","4.0","25.5","0.1","0.1","10.2"
"Fozzy Whittaker","CAR","12.6","53.7","0.2","3.8","31.0","0.0","0.2","9.6"
"Terron Ward","ATL","15.2","64.9","0.1","2.9","25.3","0.0","0.1","9.6"
"Tyler Ervin","HOU","5.4","20.8","0.1","6.7","55.1","0.2","0.0","9.5"
"Devante Mays","GB","10.0","41.0","0.3","2.0","16.0","0.1","0.1","7.9"
"Patrick DiMarco","BUF","5.4","19.9","0.1","5.2","39.3","0.2","0.0","7.8"
"Darrel Young","CAR","4.4","18.6","0.2","3.9","33.6","0.2","0.0","7.6"
"Corey Grant","JAC","10.5","43.3","0.3","1.2","12.3","0.2","0.2","7.6"
"Mack Brown","WAS","9.0","39.0","0.4","2.2","14.4","0.0","0.1","7.4"
"Chris Carson","SEA","10.0","36.0","0.3","2.0","15.0","0.1","0.1","7.3"
"Peyton Barber","TB","10.7","45.0","0.3","2.0","14.3","0.0","0.2","7.2"
"Kapri Bibbs","SF","9.8","42.2","0.1","1.9","20.3","0.1","0.2","7.1"
"Josh Ferguson","IND","9.3","28.5","0.1","5.6","40.5","0.0","0.2","6.9"
"John Crockett","OAK","10.0","40.0","0.2","2.0","12.0","0.1","0.1","6.8"
"C.J. Spiller","KC","7.9","29.0","0.0","4.1","31.1","0.2","0.2","6.7"
"Khalfani Muhammad","TEN","10.0","36.3","0.2","1.9","14.4","0.1","0.1","6.7"
"Derek Watt","LAC","3.9","15.9","0.2","3.5","38.6","0.0","0.0","6.4"
"Jalston Fowler","TEN","6.0","20.1","0.2","2.7","26.4","0.1","0.0","6.2"
"Bobby Rainey","BAL","9.1","36.8","0.2","2.5","15.0","0.0","0.2","6.0"
"Akeem Hunt","HOU","7.7","36.4","0.2","2.1","14.0","0.0","0.2","5.7"
"Jonathan Grimes","JAC","5.5","28.0","0.1","3.5","26.0","0.1","0.2","5.6"
"Knile Davis","PIT","9.4","31.0","0.0","3.5","22.9","0.0","0.1","5.4"
"T.J. Logan","ARI","8.0","29.5","0.2","1.5","11.5","0.1","0.1","5.1"
"Raheem Mostert","SF","6.4","26.8","0.2","2.1","14.0","0.0","0.2","4.9"
"Juwan Thompson","DEN","8.6","31.9","0.1","2.1","14.3","0.0","0.3","4.8"
"Brandon Bolden","NE","3.9","13.9","0.0","2.5","20.1","0.2","0.2","4.3"
"Rod Smith","DAL","3.4","12.0","0.1","2.4","16.5","0.1","0.0","4.1"
"Troymaine Pope","IND","8.0","27.0","0.1","1.0","9.0","0.0","0.1","4.0"
"Keith Smith","DAL","4.2","16.1","0.2","2.2","14.2","0.0","0.0","3.9"
"James Develin","NE","3.2","10.2","0.1","2.9","22.5","0.0","0.0","3.8"
"Daniel Lasco","NO","6.3","21.7","0.1","2.3","13.6","0.0","0.1","3.7"
"Jay Prosch","HOU","2.8","9.9","0.1","2.5","21.7","0.0","0.0","3.5"
"Dan Vitale","CLE","3.1","11.1","0.1","2.5","16.2","0.0","0.0","3.1"
"Marcus Murphy","NYJ","5.0","18.0","0.1","1.0","8.0","0.0","0.2","2.8"
"Anthony Sherman","KC","3.1","12.8","0.1","1.8","10.5","0.0","0.0","2.6"
"Taiwan Jones","BUF","2.0","5.0","0.0","1.0","14.0","0.1","0.2","2.1"
"Roosevelt Nix","PIT","1.6","5.3","0.0","1.7","9.8","0.0","0.0","1.7"
"Marquez Williams","JAC","2.0","7.0","0.0","1.0","7.0","0.0","0.0","1.4"
"Jordan Todman","NYJ","3.0","17.0","0.0","0.0","0.0","0.0","0.2","1.3"
"Michael Burton","CHI","1.0","1.0","0.0","1.0","8.0","0.1","0.2","1.1"
"Sam Rogers","LAR","2.0","5.0","0.0","1.0","6.0","0.0","0.0","1.1"
"Austin Johnson","TB","8.3","33.8","0.1","3.8","30.4","0.0","0.0","0.0"
"Ronnie Hillman","DAL","17.2","63.3","0.4","5.3","38.9","0.0","0.0","0.0"
"Terrell Watson","PIT","8.0","33.9","0.2","3.2","21.3","0.0","0.0","0.0"
"Ryan Hewitt","CIN","3.9","10.8","0.1","1.7","12.8","0.0","0.0","0.0"
"Joe Kerridge","GB","4.4","14.7","0.1","2.8","16.6","0.0","0.0","0.0"
"Mike Davis","SEA","1.6","4.7","0.0","9.1","66.6","0.0","0.0","0.0"
"Cedric Peerman","CIN","15.8","55.9","0.3","7.0","43.5","0.0","0.0","0.0"
"Joe Banyard","BUF","13.6","44.3","0.2","6.3","39.7","0.0","0.0","0.0"
"D.J. Foster","NE","12.0","45.9","0.2","2.7","18.6","0.0","0.0","0.0"
"Senorise Perry","MIA","8.4","35.7","0.3","5.5","42.1","0.0","0.0","0.0"
"Matt Jones","WAS","6.7","27.9","0.0","2.0","22.8","0.0","0.0","0.0"
"Bernard Pierce","DEN","7.8","30.9","0.1","4.0","30.6","0.0","0.0","0.0"
"Storm Johnson","MIA","8.4","35.7","0.3","5.5","42.1","0.0","0.0","0.0"
"Byron Marshall","PHI","8.3","32.8","0.2","3.3","19.4","0.0","0.0","0.0"
""
""