"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Rob Gronkowski","NE","68.2","991.6","9.2","0.3","153.6"
"Greg Olsen","CAR","77.4","1,007.2","5.6","0.3","133.9"
"Travis Kelce","KC","80.6","1,012.4","5.4","0.8","132.0"
"Jordan Reed","WAS","77.9","851.5","6.7","2.4","120.7"
"Jimmy Graham","SEA","64.3","819.5","6.6","1.9","117.9"
"Kyle Rudolph","MIN","75.3","758.5","5.8","0.3","110.0"
"Tyler Eifert","CIN","56.6","712.8","6.4","0.3","108.8"
"Zach Ertz","PHI","74.3","786.8","4.6","0.4","105.7"
"Delanie Walker","TEN","61.0","729.5","5.4","0.3","104.5"
"Martellus Bennett","GB","60.5","665.2","6.2","0.3","102.8"
"Eric Ebron","DET","63.9","723.4","4.2","0.2","97.0"
"Hunter Henry","LAC","49.9","624.0","6.2","1.4","96.7"
"Coby Fleener","NO","51.3","614.6","4.5","0.3","87.6"
"Jack Doyle","IND","58.6","588.5","5.2","1.4","87.2"
"Jason Witten","DAL","64.8","637.8","3.9","1.7","83.5"
"Austin Hooper","ATL","42.5","516.0","4.9","0.2","80.8"
"Cameron Brate","TB","46.1","532.4","4.6","0.3","80.5"
"Charles Clay","BUF","52.5","554.4","3.7","0.3","77.1"
"Jared Cook","OAK","48.3","559.1","4.0","2.0","76.0"
"Julius Thomas","MIA","45.5","475.7","4.8","0.3","75.7"
"C.J. Fiedorowicz","HOU","51.6","537.6","3.8","0.5","75.3"
"Antonio Gates","LAC","42.9","467.4","4.5","1.6","70.7"
"Evan Engram","NYG","45.0","472.1","3.1","0.5","65.1"
"David Njoku","CLE","45.5","475.3","2.9","0.5","63.6"
"Zach Miller","CHI","39.3","424.2","3.4","0.4","62.1"
"Jesse James","PIT","42.8","429.9","3.2","0.2","61.9"
"Jermaine Gresham","ARI","40.1","428.4","3.1","0.4","60.9"
"O.J. Howard","TB","37.2","395.9","3.3","0.5","58.4"
"Austin Seferian-Jenkins","NYJ","35.3","420.7","2.5","0.3","56.7"
"Erik Swoope","IND","28.9","359.4","3.1","0.3","54.0"
"Tyler Higbee","LAR","34.4","337.6","2.9","0.3","50.3"
"Vance McDonald","SF","25.4","309.4","2.7","0.4","46.2"
"Vernon Davis","WAS","27.2","333.2","2.2","0.4","45.4"
"Dwayne Allen","NE","22.7","262.1","3.2","0.1","45.1"
"Benjamin Watson","BAL","29.9","302.4","2.0","1.1","40.3"
"Ryan Griffin","HOU","30.7","301.0","1.7","1.1","38.2"
"Virgil Green","DEN","24.7","271.1","1.7","0.4","36.3"
"Xavier Grimble","PIT","23.0","241.2","1.9","0.2","35.2"
"Mychal Rivera","JAC","25.2","250.1","1.7","0.4","34.5"
"Seth DeValve","CLE","22.7","226.4","2.1","0.3","34.4"
"Adam Shaheen","CHI","23.9","240.8","1.9","0.6","34.3"
"Clive Walford","OAK","20.7","226.3","1.8","0.3","32.8"
"Trey Burton","PHI","23.4","223.5","1.8","0.3","32.5"
"Garrett Celek","SF","21.2","239.0","1.7","1.1","32.0"
"Gerald Everett","LAR","23.4","245.7","1.3","0.5","31.5"
"George Kittle","SF","21.3","226.9","1.6","0.6","31.1"
"Josh Hill","NO","21.9","216.3","1.4","0.3","29.5"
"Marcedes Lewis","JAC","23.4","229.2","1.1","0.4","28.9"
"A.J. Derby","DEN","24.5","239.7","1.6","2.5","28.4"
"Maxx Williams","BAL","22.4","212.2","1.3","0.2","28.3"
"Nick Boyle","BAL","23.7","201.0","1.0","0.2","25.9"
"Dion Sims","CHI","16.7","161.4","1.4","0.1","24.4"
"Jonnu Smith","TEN","16.2","170.4","1.3","0.4","24.0"
"Rico Gathers","DAL","15.0","165.0","1.0","0.0","22.5"
"Levine Toilolo","ATL","14.3","161.8","1.1","0.2","22.1"
"Demetrius Harris","KC","17.9","167.2","1.0","0.4","21.8"
"Will Tye","NYG","18.6","169.8","0.8","0.1","21.3"
"Ed Dickson","CAR","13.1","151.3","1.1","0.3","20.9"
"Luke Willson","SEA","14.0","151.0","1.0","0.2","20.5"
"Anthony Fasano","MIA","14.8","165.9","0.7","0.3","20.5"
"MarQueis Gray","MIA","14.0","147.7","1.0","0.3","19.9"
"Richard Rodgers","GB","13.8","133.5","0.8","0.1","17.8"
"Lance Kendricks","GB","12.1","119.9","1.1","0.3","17.7"
"Stephen Anderson","HOU","13.9","133.0","0.8","0.3","17.4"
"Troy Niklas","ARI","11.5","113.1","0.9","0.1","16.2"
"Jordan Leggett","NYJ","10.5","107.2","0.7","0.0","14.9"
"Nick O'Leary","BUF","9.3","106.5","0.6","0.1","14.3"
"Jerell Adams","NYG","10.5","99.2","0.6","0.1","13.5"
"Rhett Ellison","NYG","9.9","103.5","0.6","0.1","13.5"
"Jace Amaro","TEN","9.1","104.2","0.5","0.0","13.4"
"Jeff Heuerman","DEN","9.4","103.7","0.5","0.1","13.3"
"Brent Celek","PHI","9.5","107.8","0.3","0.1","12.6"
"Larry Donnell","BAL","11.7","93.7","0.6","0.4","12.0"
"Geoff Swaim","DAL","8.1","81.1","0.7","0.1","12.0"
"Darren Fells","DET","7.7","86.0","0.6","0.1","11.7"
"Michael Roberts","DET","8.5","89.4","0.4","0.0","11.5"
"C.J. Uzomah","CIN","8.9","89.2","0.4","0.1","11.4"
"Ben Koyack","JAC","8.5","80.2","0.5","0.1","11.1"
"Chris Manhertz","CAR","5.5","65.9","0.7","0.0","11.0"
"Gavin Escobar","KC","11.9","114.8","0.7","2.5","10.9"
"D.J. Tialavea","ATL","5.8","69.2","0.7","0.0","10.9"
"Cole Wick","DET","9.2","90.7","0.3","0.0","10.8"
"Nick Vannett","SEA","7.6","79.8","0.4","0.0","10.6"
"Ross Travis","KC","6.7","73.4","0.5","0.1","10.1"
"Logan Paulsen","SF","7.6","73.9","0.5","0.2","9.9"
"Joshua Perkins","ATL","3.7","53.0","0.6","0.0","9.1"
"Eric Tomlinson","NYJ","5.8","61.3","0.4","0.0","8.5"
"Matt Lengel","NE","4.5","51.3","0.6","0.0","8.5"
"James Hanna","DAL","7.0","70.9","0.2","0.0","8.5"
"Daniel Brown","CHI","8.0","71.0","0.3","0.1","8.4"
"Michael Hoomanawanui","NO","6.1","54.1","0.7","0.5","8.3"
"Jake Butt","DEN","5.6","59.6","0.4","0.0","8.2"
"Tyler Kroft","CIN","7.0","71.5","0.2","0.1","8.1"
"David Johnson","PIT","5.9","63.0","0.4","0.3","7.9"
"Asante Cleveland","LAC","5.5","51.4","0.4","0.0","7.7"
"Neal Sterling","JAC","8.0","73.0","0.1","0.1","7.7"
"John Phillips","NO","6.3","46.5","0.5","0.1","7.7"
"David Morgan","MIN","6.8","55.3","0.4","0.0","7.7"
"Ifeanyi Momah","ARI","4.2","55.1","0.4","0.1","7.7"
"Eric Saubert","ATL","5.7","63.7","0.2","0.0","7.6"
"Bucky Hodges","MIN","5.6","56.4","0.3","0.0","7.3"
"Alan Cross","TB","4.4","43.2","0.5","0.0","7.3"
"Cooper Helfet","OAK","4.8","47.9","0.4","0.0","7.3"
"Niles Paul","WAS","4.6","54.2","0.3","0.1","7.1"
"Temarrick Hemingway","LAR","4.7","50.1","0.3","0.0","7.0"
"Sean McGrath","LAC","3.8","45.1","0.4","0.1","6.9"
"Luke Stocker","TB","7.2","51.5","0.3","0.1","6.6"
"Jeremy Sprinkle","WAS","5.0","48.0","0.3","0.0","6.6"
"Lee Smith","OAK","6.5","46.6","0.4","0.1","6.6"
"Randall Telfer","CLE","5.5","51.4","0.3","0.1","6.5"
"Alex Ellis","JAC","5.4","42.3","0.4","0.0","6.4"
"Blake Bell","SF","3.5","49.1","0.3","0.1","6.3"
"Matt LaCosse","NYG","4.6","44.1","0.3","0.0","6.1"
"Mason Schreck","CIN","4.0","41.0","0.3","0.0","5.9"
"Ben Braunecker","CHI","4.5","46.3","0.2","0.1","5.8"
"MyCole Pruitt","CHI","6.0","52.0","0.1","0.1","5.6"
"Hakeem Valles","ARI","4.4","43.9","0.2","0.0","5.6"
"James O'Shaughnessy","NE","4.7","47.2","0.1","0.1","5.1"
"Derek Carrier","WAS","4.6","37.1","0.2","0.1","4.9"
"Logan Thomas","BUF","3.0","31.0","0.3","0.0","4.9"
"Clay Harbor","NO","5.0","35.3","0.3","0.1","4.8"
"Cory Harkey","LAR","4.3","31.6","0.3","0.1","4.7"
"Khari Lee","DET","4.0","35.0","0.2","0.0","4.7"
"Brandon Williams","IND","3.0","34.8","0.2","0.1","4.4"
"Phillip Supernaw","TEN","3.4","38.3","0.1","0.2","4.3"
"Braedon Bowman","NO","3.0","27.0","0.2","0.0","3.9"
"Scott Simonson","CAR","3.0","31.0","0.0","0.0","3.1"
"Ryan Hewitt","CIN","3.0","24.5","0.0","0.1","2.3"
""
""